DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2017-01-01 21:00:00,117,0,989.2,1.9,34.6,27.2,2.6
2017-01-01 18:00:00,108,0,989.1,5.26,35.7,27.2,2.5
2017-01-01 15:00:00,111,0,992,6.55,35,30.4,2.6
2017-01-01 12:00:00,87,0,993.7,3.36,31.5,44.8,1.4
2017-01-01 09:00:00,57,0,992.1,0.06,25.3,78.4,0.8
2017-01-01 06:00:00,66,0,990.9,0,25.9,73.6,2.8
2017-01-01 03:00:00,60,0,991.7,0,26.7,67.2,5.2
2017-01-01 00:00:00,69,0,991.8,0,28.9,52.8,4.1
2016-12-31 21:00:00,108,0,989.4,1.98,34.5,20.8,2.9
2016-12-31 18:00:00,117,0,989.9,6.77,36,17.6,3.4
2016-12-31 15:00:00,117,0,992.4,7.18,34.9,24,2.4
2016-12-31 12:00:00,114,0,993.5,3.54,30.3,40,2.1
2016-12-31 09:00:00,66,0,992.4,0.06,24.5,83.2,0.2
2016-12-31 06:00:00,63,0,991,0,25.2,80,2.6
2016-12-31 03:00:00,57,0,991.7,0,25.8,75.2,3.4
2016-12-31 00:00:00,63,0,992.3,0,27.1,60.8,3.5
2016-12-30 21:00:00,69,0.2,990.6,1.31,28.2,57.6,5.5
2016-12-30 18:00:00,123,0,989.4,6.26,35,30.4,5.2
2016-12-30 15:00:00,126,0,992.6,5.54,33.5,41.6,3.9
2016-12-30 12:00:00,111,0,994.1,3.07,29.5,56,2.1
2016-12-30 09:00:00,93,0,991.9,0.08,23.4,84.8,0.2
2016-12-30 06:00:00,93,0,991.7,0,23.3,81.6,0.2
2016-12-30 03:00:00,81,0,992.6,0,24.1,76.8,0.1
2016-12-30 00:00:00,153,0.2,993.8,0,24.7,78.4,0.2
2016-12-29 21:00:00,120,0.6,991.9,2.12,25,81.6,4.5
2016-12-29 18:00:00,108,0,989.8,4.94,35.1,30.4,3.6
2016-12-29 15:00:00,126,0,992.6,5.54,33.5,41.6,3.9
2016-12-29 12:00:00,111,0,994.1,3.07,29.5,56,2.1
2016-12-29 09:00:00,93,0,991.9,0.08,23.4,84.8,0.2
2016-12-29 06:00:00,93,0,991.7,0,23.3,81.6,0.2
2016-12-29 03:00:00,81,0,992.6,0,24.1,76.8,0.1
2016-12-29 00:00:00,153,0.2,993.8,0,24.7,78.4,0.2
2016-12-28 21:00:00,120,0.6,991.9,2.12,25,81.6,4.5
2016-12-28 18:00:00,108,0,989.8,4.94,35.1,30.4,3.6
2016-12-28 15:00:00,108,0,992.7,5.74,33.5,33.6,3.2
2016-12-28 12:00:00,93,0,994,2.36,29.4,46.4,0.8
2016-12-28 09:00:00,69,0,992.6,0.06,24.6,67.2,0.9
2016-12-28 06:00:00,66,0,990.9,0,25.6,65.6,3.8
2016-12-28 03:00:00,63,0,991.4,0,26.6,70.4,5.5
2016-12-28 00:00:00,72,0,991.4,0,28.4,59.2,4.7
2016-12-27 21:00:00,96,0,988.9,1.74,34.2,28.8,3.4
2016-12-27 18:00:00,96,0,989.4,6.41,35.6,27.2,4.2
2016-12-27 15:00:00,111,0,992.6,6.61,34.6,33.6,3.9
2016-12-27 12:00:00,90,0,994.6,3.25,30,51.2,3.6
2016-12-27 09:00:00,72,0,992.7,0.04,24.4,80,2.5
2016-12-27 06:00:00,69,0,990.6,0,25.5,78.4,2.8
2016-12-27 03:00:00,69,0,991.5,0,26.7,68.8,3.9
2016-12-27 00:00:00,63,0,991.2,0,29.5,43.2,4.9
2016-12-26 21:00:00,93,51.6,988.7,1.87,33.6,28.8,3.2
2016-12-26 18:00:00,93,0,989.1,5.12,34.5,30.4,3.8
2016-12-26 15:00:00,96,0,991.8,5.47,33.1,35.2,4.6
2016-12-26 12:00:00,90,0,993.5,3.08,29.6,51.2,4.1
2016-12-26 09:00:00,69,0,991.6,0.07,25.1,78.4,2.5
2016-12-26 06:00:00,63,0,990,0,25.4,80,2.3
2016-12-26 03:00:00,159,409.4,990.6,12.28,12.2,67.2,23.4
2016-12-26 00:00:00,69,0,990.7,0,29,56,3.4
2016-12-25 21:00:00,153,0,988.6,1.31,32.5,38.4,0.6
2016-12-25 18:00:00,123,0,988.5,4.74,34.6,30.4,1.7
2016-12-25 15:00:00,108,0,991.1,5.3,32.3,40,2.9
2016-12-25 12:00:00,90,0,992.6,2.83,29.1,56,3.3
2016-12-25 09:00:00,69,0,990.8,0.07,25.1,78.4,2.9
2016-12-25 06:00:00,63,0,989.4,0,25.5,75.2,3.5
2016-12-25 03:00:00,63,0,989.9,0,26.7,68.8,5.1
2016-12-25 00:00:00,51,0,990.8,0,29,49.6,3.8
2016-12-24 21:00:00,120,0,988.4,1.55,33.3,30.4,0.8
2016-12-24 18:00:00,123,0,988.8,5.16,35.1,27.2,1.2
2016-12-24 15:00:00,126,0,991.4,5.65,33.3,33.6,1.9
2016-12-24 12:00:00,93,0,992.9,2.34,30,43.2,1.8
2016-12-24 09:00:00,48,0,991,0.05,24.8,68.8,0.1
2016-12-24 06:00:00,69,0,989.7,0,25,75.2,2.2
2016-12-24 03:00:00,63,0,989.6,0,26.5,68.8,5.4
2016-12-24 00:00:00,66,0,990.1,0,28.3,59.2,4
2016-12-23 21:00:00,102,0,988.1,1.15,33.5,30.4,2.8
2016-12-23 18:00:00,123,0,987.6,4.55,34.8,28.8,2.3
2016-12-23 15:00:00,135,0,990.4,6.25,34.4,32,2.4
2016-12-23 12:00:00,114,0,992.2,3.22,31,46.4,1
2016-12-23 09:00:00,69,0,990.9,0.08,24.4,84.8,0.4
2016-12-23 06:00:00,63,0,989.7,0,24.2,88,0.2
2016-12-23 03:00:00,60,0,990.7,0,25.2,84.8,0.5
2016-12-23 00:00:00,54,0.2,991.2,0,27.1,72,0.7
2016-12-22 21:00:00,111,0.6,989.5,0.71,28,68.8,1.7
2016-12-22 18:00:00,120,0,987.8,2.82,33.3,38.4,3.8
2016-12-22 15:00:00,117,0,989.9,3.88,32.9,38.4,4.2
2016-12-22 12:00:00,99,0,992.2,3.24,31.1,44.8,2.9
2016-12-22 09:00:00,75,0,991.2,0.1,25.6,76.8,1
2016-12-22 06:00:00,72,0,989.5,0,25.7,75.2,3.8
2016-12-22 03:00:00,66,0,990.6,0,26.3,70.4,5.4
2016-12-22 00:00:00,72,0,991.2,0,27.7,64,4.6
2016-12-21 21:00:00,96,0,989.1,1.81,32.7,30.4,3.9
2016-12-21 18:00:00,111,0,988.5,5.77,33.7,30.4,3.3
2016-12-21 15:00:00,99,0,990.3,5.05,32.2,38.4,3.1
2016-12-21 12:00:00,78,0,991.6,2.78,28.2,56,3.3
2016-12-21 09:00:00,72,0,990.7,0.08,24.8,76.8,1.7
2016-12-21 06:00:00,69,0,989.2,0,25.4,76.8,4.3
2016-12-21 03:00:00,72,0,990.1,0,26.1,72,5.2
2016-12-21 00:00:00,198,0,991.4,0,29,56,2.3
2016-12-20 21:00:00,207,0,989,0.94,31.5,40,1.7
2016-12-20 18:00:00,132,0,988.4,5.6,35.3,30.4,2.7
2016-12-20 15:00:00,132,0,990.7,6.12,31.7,38.4,3
2016-12-20 12:00:00,90,0,992.7,2.2,29.5,56,1
2016-12-20 09:00:00,0,0,991.5,0.07,25.2,81.6,0
2016-12-20 06:00:00,45,0,990.3,0,25.3,78.4,0.5
2016-12-20 03:00:00,66,0,991.3,0,26.3,70.4,2.3
2016-12-20 00:00:00,225,0,991.6,0,27.8,59.2,1.2
2016-12-19 21:00:00,162,0,989.9,1.18,29.8,49.6,0.6
2016-12-19 18:00:00,123,0,989.6,3.96,31.7,40,0.9
2016-12-19 15:00:00,135,0,991.9,4.14,30.2,49.6,1.7
2016-12-19 12:00:00,147,0,993.3,2.47,26.9,65.6,0.3
2016-12-19 09:00:00,123,0,992.4,0.02,21.4,91.2,0.3
2016-12-19 06:00:00,90,0.2,991.1,0,21,91.2,0.1
2016-12-19 03:00:00,75,11.2,992.2,0,21.2,91.2,3.8
2016-12-19 00:00:00,279,0,991.8,0,26.6,68.8,0.8
2016-12-18 21:00:00,243,0,990,0.68,27.7,62.4,0.6
2016-12-18 18:00:00,198,0,989.7,2.51,28.1,64,0.2
2016-12-18 15:00:00,147,0.2,992.7,2.27,26.4,73.6,0.2
2016-12-18 12:00:00,144,1.6,993.4,0.59,22.9,91.2,0.2
2016-12-18 09:00:00,162,10.2,992.3,0.01,22,91.2,1.5
2016-12-18 06:00:00,84,0,991,0,25.8,67.2,5.3
2016-12-18 03:00:00,75,0,991.4,0,26.4,65.6,6.5
2016-12-18 00:00:00,69,0,991.8,0,27.7,62.4,6.8
2016-12-17 21:00:00,105,0,988.9,0.55,31.1,46.4,2.1
2016-12-17 18:00:00,90,0,988.6,4.73,35,25.6,2.6
2016-12-17 15:00:00,105,0,991.3,6.79,34,27.2,2.6
2016-12-17 12:00:00,99,0,993.6,2.59,29.8,49.6,0.4
2016-12-17 09:00:00,78,0,992.6,0.05,24.8,78.4,0.2
2016-12-17 06:00:00,330,0,991.4,0,25.3,73.6,0.2
2016-12-17 03:00:00,306,0,992.5,0,26.2,65.6,0.3
2016-12-17 00:00:00,279,0,992.1,0,27.2,57.6,0.3
2016-12-16 21:00:00,150,0,991.5,0.58,28.7,51.2,0.2
2016-12-16 18:00:00,183,0,991.8,2.27,29.8,49.6,0.2
2016-12-16 15:00:00,108,0.4,994.3,1.76,27.2,65.6,0.2
2016-12-16 12:00:00,87,0.2,995,0.53,25.3,76.8,0.4
2016-12-16 09:00:00,78,0,993.4,0.01,25,76.8,2.9
2016-12-16 06:00:00,66,0,992.3,0,25.7,75.2,1.3
2016-12-16 03:00:00,66,0,993.1,0,26.2,72,4.2
2016-12-16 00:00:00,60,0,993.2,0,27.3,59.2,4.9
2016-12-15 21:00:00,114,0,991.1,0.55,31.6,33.6,0.1
2016-12-15 18:00:00,87,0,991,3.16,32.7,32,2
2016-12-15 15:00:00,87,0,992.9,3.79,31.5,36.8,4.3
2016-12-15 12:00:00,93,0.2,994.7,2.41,28.7,56,2.4
2016-12-15 09:00:00,75,1.6,993.5,0.08,23.8,89.6,0.3
2016-12-15 06:00:00,69,0,991.7,0,24.6,78.4,1.7
2016-12-15 03:00:00,63,0,992.4,0,25.5,72,4.6
2016-12-15 00:00:00,63,0,992.2,0,27.4,52.8,6.4
2016-12-14 21:00:00,81,0,989.7,0.78,31.9,33.6,3
2016-12-14 18:00:00,78,0,990,5.16,33.7,28.8,3.2
2016-12-14 15:00:00,81,0,992.8,5.27,33.4,32,2.7
2016-12-14 12:00:00,102,0,994.4,2.39,28.5,52.8,0.2
2016-12-14 09:00:00,75,0,992,0,24.9,72,3.5
2016-12-14 06:00:00,75,0,992,0,24.9,72,3.5
2016-12-14 03:00:00,69,0,992.2,0,25.9,68.8,5.2
2016-12-14 00:00:00,66,0,991.7,0,27.5,57.6,4.6
2016-12-13 21:00:00,63,0,989.3,0.66,30.7,44.8,3.2
2016-12-13 18:00:00,78,0,988.7,3.59,32.8,35.2,1.4
2016-12-13 15:00:00,78,0,991.7,4.09,31.6,40,3.4
2016-12-13 12:00:00,78,0,992.8,2.45,29.1,48,2.9
2016-12-13 09:00:00,84,0,991.8,0.04,24.6,78.4,4.8
2016-12-13 06:00:00,75,0,990.4,0,25.3,72,6
2016-12-13 03:00:00,69,0,991.3,0,25.9,70.4,7.7
2016-12-13 00:00:00,66,0,990.5,0,27.2,60.8,7.3
2016-12-12 21:00:00,81,0,987.7,1.36,32.7,38.4,2.5
2016-12-12 18:00:00,81,0,987.4,5.51,35.2,28.8,2.4
2016-12-12 15:00:00,78,0,990.7,5.24,33.5,33.6,2.1
2016-12-12 12:00:00,93,0,992.6,2.89,29.7,49.6,3.1
2016-12-12 09:00:00,78,0,991.7,0.08,25.1,78.4,3.4
2016-12-12 06:00:00,75,0,990.4,0,25.3,76.8,6
2016-12-12 03:00:00,72,0,991.5,0,25.9,72,7
2016-12-12 00:00:00,63,0,991.4,0,28.7,48,6.5
2016-12-11 21:00:00,75,0,989.5,1.52,32.1,36.8,5.1
2016-12-11 18:00:00,75,0,989.1,5.76,35.3,25.6,2.8
2016-12-11 15:00:00,84,0,992.2,6.13,34,32,3.4
2016-12-11 12:00:00,87,0,994.2,2.2,28.4,56,4.2
2016-12-11 09:00:00,75,0,992.6,0.1,25.4,78.4,3.1
2016-12-11 06:00:00,72,0,991.5,0,25.3,76.8,6.2
2016-12-11 03:00:00,66,0,992.7,0,26.1,72,6.2
2016-12-11 00:00:00,69,0,992.2,0,27.9,54.4,6.8
2016-12-10 21:00:00,78,0,989.2,1.56,33.4,32,2.6
2016-12-10 18:00:00,90,0,989.5,6.42,35.9,24,1.8
2016-12-10 15:00:00,93,0,991.8,5.35,33.7,33.6,2.2
2016-12-10 12:00:00,105,1.4,993.9,3.35,28.5,54.4,4
2016-12-10 09:00:00,72,0,992.5,0.02,25.4,76.8,4.2
2016-12-10 06:00:00,69,0,990.7,0,25.2,73.6,5.8
2016-12-10 03:00:00,66,0,991.7,0,25.9,72,7
2016-12-10 00:00:00,63,0,991.5,0,27.4,56,7.5
2016-12-09 21:00:00,84,0,988.5,1.63,34,27.2,1.8
2016-12-09 18:00:00,96,0,989.1,6.28,34.9,25.6,1.2
2016-12-09 15:00:00,78,0.2,991.9,4.94,33.4,33.6,1.4
2016-12-09 12:00:00,96,0.6,994.1,1.36,27.7,62.4,1.4
2016-12-09 09:00:00,81,0,992.7,0.1,25.3,78.4,4.5
2016-12-09 06:00:00,72,0,991.2,0,25.6,75.2,6.2
2016-12-09 03:00:00,66,0,991.9,0,26.1,72,7
2016-12-09 00:00:00,66,0,991.4,0,28.2,59.2,6.6
2016-12-08 21:00:00,93,0,989.1,1.61,34.3,28.8,2
2016-12-08 18:00:00,69,0,989.2,6.52,35.5,25.6,2
2016-12-08 15:00:00,90,0,991.8,6.97,33.5,33.6,3.1
2016-12-08 12:00:00,81,0,993.4,2.28,29.2,54.4,3
2016-12-08 09:00:00,75,0,993.1,0.05,24.9,81.6,2.4
2016-12-08 06:00:00,63,0,991.6,0,25.4,76.8,5.8
2016-12-08 03:00:00,63,0,991.6,0,26.1,70.4,7
2016-12-08 00:00:00,60,0,991.7,0,27.1,60.8,7.1
2016-12-07 21:00:00,81,0,989.2,1.22,34,32,3.7
2016-12-07 18:00:00,81,0,989.3,6.38,36,24,3
2016-12-07 15:00:00,93,0,991.9,6.72,34.1,33.6,4
2016-12-07 12:00:00,84,0,994,2.53,29.1,51.2,3.6
2016-12-07 09:00:00,78,0,992.9,0.11,25.2,78.4,4.3
2016-12-07 06:00:00,72,0,991.5,0,25.7,73.6,4.1
2016-12-07 03:00:00,69,0,992,0,26,73.6,6.8
2016-12-07 00:00:00,348,819,992.3,12.28,27.8,57.6,7.2
2016-12-06 21:00:00,75,0,990.6,1.49,31.9,40,5.9
2016-12-06 18:00:00,81,0,990.4,6.5,36,27.2,5.2
2016-12-06 15:00:00,78,0,992.9,5.75,33.8,35.2,4.8
2016-12-06 12:00:00,87,0,995.1,2.95,30.1,51.2,3.5
2016-12-06 09:00:00,72,0,993.9,0.06,25.5,78.4,3.7
2016-12-06 06:00:00,66,0,992.4,0,25.5,76.8,4.5
2016-12-06 03:00:00,69,0,992.8,0,26,72,5.6
2016-12-06 00:00:00,63,0,992.9,0,28,56,7.8
2016-12-05 21:00:00,69,0,990.1,1.67,32.2,36.8,6
2016-12-05 18:00:00,81,0,989.1,5.64,35.8,25.6,4.5
2016-12-05 15:00:00,84,0,991.5,7.16,34.6,30.4,5.4
2016-12-05 12:00:00,90,0,994.2,3.95,30.7,41.6,4.8
2016-12-05 09:00:00,72,0,993.6,0.08,25,80,2.4
2016-12-05 06:00:00,66,0,992.3,0,25.1,76.8,4.7
2016-12-05 03:00:00,69,0,992.5,0,25.7,72,6.9
2016-12-05 00:00:00,51,0,992.1,0,28.3,51.2,7.5
2016-12-04 21:00:00,84,0,989,5.87,35.9,22.4,2.8
2016-12-04 18:00:00,84,0,989,5.87,35.9,22.4,2.8
2016-12-04 15:00:00,87,0,991.3,7.4,33.4,33.6,3.6
2016-12-04 12:00:00,90,0,993.4,3.28,28.9,52.8,3.9
2016-12-04 09:00:00,81,0,992.6,0.11,24.6,76.8,1.7
2016-12-04 06:00:00,69,0,991.6,0,24.6,78.4,5.6
2016-12-04 03:00:00,63,0,992.2,0,25.5,72,7.1
2016-12-04 00:00:00,69,0,992.4,0,27.1,59.2,7.8
2016-12-03 21:00:00,93,204.8,989.9,1.33,32.3,36.8,3.3
2016-12-03 18:00:00,93,0,989.3,6.2,35.6,25.6,2.1
2016-12-03 15:00:00,78,0,991.7,6.44,33.4,30.4,3.2
2016-12-03 12:00:00,93,0,993.5,4.1,29.4,46.4,4.7
2016-12-03 09:00:00,78,0,992.9,0.13,25.1,67.2,4.8
2016-12-03 06:00:00,72,0,992.3,0,25.1,62.4,7
2016-12-03 03:00:00,69,0,992.4,0,26.3,68.8,6.9
2016-12-03 00:00:00,69,0,993.2,0,27.4,64,7.4
2016-12-02 21:00:00,135,0,990.3,1.8,35.4,20.8,1.7
2016-12-02 18:00:00,99,0,990.1,6.61,36.6,20.8,2.2
2016-12-02 15:00:00,114,0,993,6.7,35.3,30.4,2
2016-12-02 12:00:00,102,0,995,3.14,30.1,44.8,4.2
2016-12-02 09:00:00,84,0,994.1,0.04,25.4,68.8,4.6
2016-12-02 06:00:00,72,0,993.2,0,25.3,72,6.1
2016-12-02 03:00:00,69,0,993.2,0,25.5,72,6.7
2016-12-02 00:00:00,66,0,993,0,27.1,62.4,7.4
2016-12-01 21:00:00,87,0,990.3,1.56,33.8,32,3.5
2016-12-01 18:00:00,93,0,990.1,6.49,35.6,25.6,3.5
2016-12-01 15:00:00,96,0,992.8,6.18,33.5,33.6,5.9
2016-12-01 12:00:00,93,0,994.9,2.94,29.1,48,7.1
2016-12-01 09:00:00,93,0,993.9,0.14,25.5,70.4,4.4
2016-12-01 06:00:00,69,0,992.3,0,25.3,73.6,5.3
2016-12-01 03:00:00,69,0,992.5,0,25.3,72,6.3
2016-12-01 00:00:00,66,0,992.3,0,27.5,49.6,7.3
2016-11-30 21:00:00,87,0,989.4,1.25,33.5,33.6,2.6
2016-11-30 18:00:00,90,0,989.1,5.84,35.4,27.2,3.9
2016-11-30 15:00:00,102,0,993.7,2.05,29.2,51.2,4.8
2016-11-30 12:00:00,102,0,993.7,2.05,29.2,51.2,4.8
2016-11-30 09:00:00,81,0,992.4,0.17,25.3,80,4.9
2016-11-30 06:00:00,72,0,990.9,0,25.9,72,6.4
2016-11-30 03:00:00,66,0,991.6,0,26.1,72,7.3
2016-11-30 00:00:00,57,0,991.6,0,28.1,52.8,7.8
2016-11-29 21:00:00,87,0,988.7,1.49,34.6,27.2,2.8
2016-11-29 18:00:00,87,0,988.3,6.07,35.8,27.2,3.5
2016-11-29 15:00:00,75,0,990.8,7.22,34.3,33.6,4
2016-11-29 12:00:00,75,0,993.7,3.88,29.3,52.8,2.8
2016-11-29 09:00:00,75,0,992.2,0.13,24.7,75.2,1.4
2016-11-29 06:00:00,63,0,990.6,0,24.8,80,5
2016-11-29 03:00:00,60,0,991.2,0,25.8,70.4,5.9
